path	remote_url	org_class	total_commits	local_only_commits	our_identity_commits	testuser_commits	note	class
submodules/observability	git@github.com:vasic-digital/Observability.git	OURS	110	0	108	0		OURS_DEVELOPED
submodules/optimization	git@github.com:vasic-digital/Optimization.git	OURS	42	0	42	0		OURS_DEVELOPED
submodules/ouroborous	git@github.com:vasic-digital/Ouroborous.git	OURS	26	0	26	0		OURS_DEVELOPED
submodules/panoptic	git@github.com:vasic-digital/Panoptic.git	OURS	134	0	134	0		OURS_DEVELOPED
submodules/pipeline_runtime	git@github.com:HelixDevelopment/PipelineRuntime.git	OURS	1	0	1	0		OURS_DEVELOPED
submodules/planning	git@github.com:vasic-digital/Planning.git	OURS	38	0	38	0		OURS_DEVELOPED
submodules/plinius_common	git@github.com:vasic-digital/PliniusCommon.git	OURS	25	0	25	0		OURS_DEVELOPED
submodules/plugins	git@github.com:vasic-digital/Plugins.git	OURS	44	0	44	0		OURS_DEVELOPED
submodules/rag	git@github.com:vasic-digital/RAG.git	OURS	48	0	48	0		OURS_DEVELOPED
submodules/rate_limiter	git@github.com:vasic-digital/RateLimiter.git	OURS	87	0	85	0		OURS_DEVELOPED
submodules/recovery	git@github.com:vasic-digital/Recovery.git	OURS	93	0	90	0		OURS_DEVELOPED
submodules/red_team	git@github.com:vasic-digital/RedTeam.git	OURS	25	0	25	0		OURS_DEVELOPED
submodules/security	git@github.com:vasic-digital/Security.git	OURS	148	0	146	0		OURS_DEVELOPED
submodules/self_improve	git@github.com:vasic-digital/SelfImprove.git	OURS	32	0	32	0		OURS_DEVELOPED
submodules/skill_registry	git@github.com:vasic-digital/SkillRegistry.git	OURS	38	0	38	0		OURS_DEVELOPED
submodules/storage	git@github.com:vasic-digital/Storage.git	OURS	75	0	72	0		OURS_DEVELOPED
submodules/streaming	git@github.com:vasic-digital/Streaming.git	OURS	76	0	67	0		OURS_DEVELOPED
submodules/tool_schema	git@github.com:vasic-digital/ToolSchema.git	OURS	36	0	36	0		OURS_DEVELOPED
submodules/toon	git@github.com:vasic-digital/TOON.git	OURS	21	0	21	0		OURS_DEVELOPED
submodules/vector_db	git@github.com:vasic-digital/VectorDB.git	OURS	50	0	50	0		OURS_DEVELOPED
submodules/veritas	git@github.com:vasic-digital/Veritas.git	OURS	25	0	25	0		OURS_DEVELOPED
submodules/vision_engine	git@github.com:HelixDevelopment/VisionEngine.git	OURS	172	0	172	0		OURS_DEVELOPED
submodules/watcher	git@github.com:vasic-digital/Watcher.git	OURS	45	0	42	0		OURS_DEVELOPED
